id,cacheDate,name,owner,salePrice,studFee,age,gender,breed,imperfectTraitsScore,totalTraitDeviancy,scoreBodyType,scoreBodySize,scoreHeadShape,scoreEars,scoreNoseLength,scoreEyeShape,scoreEyeColor,scoreCoat,scoreColor,scoreTail,scoreLegs,bodyType,bodySize,headShape,earSize,earCurl,noseLength,eyeShape,eyeColor,eyeDepth,tail,legs,coatLength,coatTexture,coatBaseColor,coatBicolor,coatTabbyPattern,coatAlbino,coatGhostMarking,coatRufused,coatGolden,coatSilver,coatSmoke,showPoints,ageOfMostRecentOffspring,ableToGetPregnant,fullness,health,coatCondition,activeness,attitude,mood
2007165,2022-12-28,#2007165,Almalexia | Tigraunda Revival (#70878),100,0,49,female,mixed breed,7,15.5,3.0,0.5,1.0,-1.5,-3.5,-4.0,2,0,0,0,0,15.0,17.5,13.0,13.5,straight,15.5,14.0,hazel,deep,normal,normal,shorthair,,black,bicolor,ticked tabby,,False,False,False,False,False,0,0,True,99.99,87.49,0.00,51.00,85.72,50.00
2007142,2022-12-28,#▧LillySpeckles,Tic-Tac to the rescue (#269418),300,0,49,female,mixed breed,7,16.5,0.5,-1.0,1.5,-2.5,-4.5,-4.5,2,0,0,0,0,12.5,16.0,13.5,12.5,straight,14.5,13.5,bronze,deep,normal,normal,shorthair,,black,bicolor,,,False,False,False,True,False,0,0,True,99.99,84.49,96.70,25.80,70.20,98.99
2003959,2022-12-28,#2003959 3ex,Ali's Cattery 2 Mixies and OriMajs (#267045),1,0,62,female,mixed breed,9,16.5,1.5,-2.0,3.0,1.5,-2.5,-1.0,2,2,0,0,1,13.5,15.0,15.0,16.5,straight,16.5,17.0,aqua,deep,normal,short (Munchkin),longhair,LaPerm,lilac,,ticked tabby,,False,False,False,False,False,0,0,True,4.99,11.49,0.00,98.00,99.99,99.99
2005879,2022-12-28,Mina's Truly Ages West,Chant’s ℂ✩ Neverending Studio Projects (#19181),50,0,54,female,mixed breed,9,16.5,0.5,-3.0,-0.5,-0.5,-5.0,-2.0,2,2,0,1,0,12.5,14.0,11.5,14.5,straight,14.0,16.0,hazel,deep,short (bobtail),normal,longhair,rex II satin,blue,,,,False,False,False,True,False,0,0,True,99.99,99.99,0.00,51.00,99.48,50.00
2016069,2022-12-28,#2016069 1/6ex,Tuna Cat (#268804),300,0,8,female,mixed breed,9,16.5,-2.0,0.5,0.5,-1.0,-4.0,-3.5,2,2,0,1,0,10.0,17.5,12.5,14.0,straight,15.0,14.5,green,deep,short (bobtail),normal,longhair,,black,mitted,classic tabby,,False,False,False,True,False,0,0,,99.99,95.75,95.89,52.50,99.99,50.00
2015501,2022-12-28,#Alisia,Tic-TacCat (#268923),600,0,9,female,mixed breed,8,17.0,3.5,-3.5,-1.0,1.0,-2.5,-1.5,2,2,0,0,0,15.5,13.5,11.0,16.0,straight,16.5,16.5,grey-green,deep,normal,normal,shorthair,satin wirehair,black,bicolor,classic tabby,,False,False,False,True,False,0,0,,94.99,99.99,98.99,37.00,98.00,50.00
2015982,2022-12-28,# (b) Destiny's Illusion,Kittystix1 (#268795),0,0,8,female,Siamese,6,17.5,4.0,-4.0,4.5,2.5,-0.5,0.0,2,0,0,0,0,16.0,13.0,16.5,17.5,straight,18.5,18.0,blue,deep,normal,normal,shorthair,satin,red,,,point,False,False,False,False,False,0,0,,99.99,99.99,99.99,93.40,99.99,50.00
2015985,2022-12-28,# (b) Legacy,Kittystix1 (#268795),0,0,8,female,Siamese,6,17.5,4.0,-4.0,4.5,2.5,-0.5,0.0,2,0,0,0,0,16.0,13.0,16.5,17.5,straight,18.5,18.0,blue,deep,normal,normal,shorthair,satin,cream,,,point,False,False,False,False,False,0,0,,94.99,97.49,99.99,92.20,99.99,50.00
2005860,2022-12-28,Ali's Cinnamon,Kittystix1 (#268795),0,0,54,female,Siamese,6,17.5,4.0,-4.0,4.5,2.5,-0.5,0.0,2,0,0,0,0,16.0,13.0,16.5,17.5,straight,18.5,18.0,blue,deep,normal,normal,shorthair,satin,red,,,point,False,False,False,False,False,0,21,True,99.99,99.99,96.99,94.60,99.99,56.00
2006633,2022-12-28,#2006633 Sell?,CCeline's Mew (#171351),50,0,50,female,mixed breed,6,17.5,2.5,0.0,0.5,0.5,-6.5,-4.5,3,0,0,0,0,14.5,17.0,12.5,15.5,straight,12.5,13.5,green,medium,normal,normal,shorthair,satin,lilac,bicolor,,,False,False,False,False,False,0,0,True,94.99,81.99,0.00,72.00,65.89,50.00
2007901,2022-12-28,#Little Miss Sunshine,Rescue Shelter,200,0,44,female,Siamese,6,17.5,4.0,-4.0,4.5,2.5,-0.5,0.0,2,0,0,0,0,16.0,13.0,16.5,17.5,straight,18.5,18.0,blue,deep,normal,normal,shorthair,satin,lilac,,,point,False,False,False,False,False,0,0,True,99.99,12.99,21.99,71.00,99.98,88.00
2007847,2022-12-28,#2007847,Almalexia | Tigraunda Revival (#70878),100,0,44,female,mixed breed,7,17.5,2.5,1.0,1.5,-0.5,-5.0,-5.0,2,0,0,0,0,14.5,18.0,13.5,14.5,straight,14.0,13.0,grey-green,deep,normal,normal,shorthair,,black,,mackerel tabby,,False,False,False,True,False,0,0,True,99.99,84.81,0.00,56.00,82.75,50.00
2016324,2022-12-28,#2016324,Rescue Shelter,200,0,7,female,mixed breed,7,17.5,2.5,0.5,0.5,-1.0,-5.5,-4.5,3,0,0,0,0,14.5,17.5,12.5,14.0,straight,13.5,13.5,hazel,medium,normal,normal,shorthair,satin,black,harlequin,,,False,True,False,False,False,0,0,,99.99,99.99,0.00,63.00,70.97,50.00
2004338,2022-12-28,# Spottedbird,Silverglitter17 (#179130),25,0,60,female,mixed breed,8,17.5,-1.0,0.5,0.5,-3.0,-5.0,-3.5,2,2,0,0,0,11.0,17.5,12.5,12.0,straight,14.0,14.5,grey-green,deep,normal,normal,longhair,,black,bicolor,spotted tabby,,False,False,False,True,False,0,45,True,84.99,58.47,0.00,41.00,99.99,73.00
2002402,2022-12-28,#Leda the Libra,Rescue Shelter,200,0,69,female,mixed breed,8,17.5,-0.5,-0.5,3.5,1.5,-5.5,-2.0,2,2,0,0,0,11.5,16.5,15.5,16.5,straight,13.5,16.0,yellow-green,deep,normal,normal,shorthair,rex III satin,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,True,99.99,4.50,23.20,63.00,99.34,93.00
2017063,2022-12-28,#Sorceress Heavendream -stray,Mezzmeric's Feline Fiasco (#26989),1,0,21,female,mixed breed,7,18.0,-5.0,-6.5,-1.5,1.5,-1.0,-0.5,2,0,0,0,0,7.0,10.5,10.5,16.5,straight,18.0,17.5,green,deep,normal,normal,shorthair,,black,bicolor,mackerel tabby,,False,False,False,True,False,0,0,True,99.99,99.99,68.00,63.00,53.97,47.00
2016652,2022-12-28,﴾Chant﴿ Tinka,Chant’s ℂ✩ Neverending Studio Projects (#19181),1,0,48,female,mixed breed,7,18.0,-3.0,-5.5,-4.0,1.0,-2.0,-0.5,2,0,0,0,0,9.0,11.5,8.0,16.0,straight,17.0,17.5,blue,deep,normal,normal,shorthair,,white,,,,False,False,False,False,False,0,0,True,99.99,99.99,68.00,83.00,35.96,49.00
2006779,2022-12-28,Madame Tigresse,SnowyRina167 (#269419),1,0,50,female,mixed breed,7,18.0,0.0,-2.5,1.0,-1.5,-4.0,-4.0,3,2,0,0,0,12.0,14.5,13.0,13.5,straight,15.0,14.0,hazel,medium,normal,normal,longhair,LaPerm,chocolate,,mackerel tabby,,False,False,False,True,False,0,0,True,14.99,2.99,0.00,48.00,99.99,91.00
2013205,2022-12-28,|EO| Lion Magic and Sorceress,|EO|� Endless Obsessions Rare Breed Cattery (#83605),50,0,21,female,mixed breed,7,18.0,0.5,-2.5,-1.0,0.0,-7.0,-4.0,2,0,0,0,1,12.5,14.5,11.0,15.0,straight,12.0,14.0,bronze,deep,normal,short (Munchkin),shorthair,,white,,,,False,False,False,False,False,0,0,True,39.99,61.99,54.30,30.00,83.55,55.00
2010385,2022-12-28,#Cookie Imora - SH,Enakhra ~James' Rehab and Retirement Center~ (#146955),1,0,34,female,mixed breed,6,18.5,0.0,-2.5,-2.0,-2.5,-6.5,-2.0,3,0,0,0,0,12.0,14.5,10.0,12.5,straight,12.5,16.0,grey-green,pale,normal,normal,shorthair,,natural,,,mink,False,False,False,False,False,0,0,True,4.99,7.99,0.00,22.00,78.99,75.00
2007643,2022-12-28,#Rhubarb,CinnamonFawnCats13  (#222218),1,0,46,female,mixed breed,7,18.5,-0.5,0.0,-2.0,-4.0,-6.0,-2.0,2,2,0,0,0,11.5,17.0,10.0,12.0,curled,13.0,16.0,grey-green,deep,normal,normal,longhair,,chocolate,bicolor,ticked tabby,,False,False,False,False,False,0,0,True,99.99,80.38,0.00,30.00,85.87,50.00
2007849,2022-12-28,#2007849,Almalexia | Tigraunda Revival (#70878),100,0,44,female,mixed breed,7,18.5,2.0,1.0,1.5,-1.0,-5.0,-5.0,3,0,0,0,0,14.0,18.0,13.5,14.0,straight,14.0,13.0,hazel,pale,normal,normal,shorthair,,black,harlequin,mackerel tabby,,False,False,False,True,False,0,0,True,99.99,81.81,0.00,56.00,83.75,50.00
2016327,2022-12-28,#2016327,Pleasantli ~ WildSpots Cattery (#157877),1,0,56,female,mixed breed,8,18.5,3.0,-5.0,2.5,0.5,-2.0,-0.5,3,2,0,0,0,15.0,12.0,14.5,15.5,straight,17.0,17.5,green,pale,normal,normal,shorthair,LaPerm,black,,ticked tabby,,False,True,True,False,False,0,0,True,69.99,85.00,74.00,66.00,14.00,43.00
2014852,2022-12-28,#2014852,Pizza_Kitties - Sales (#88179),50,0,14,female,mixed breed,8,18.5,0.5,-1.5,0.5,-3.0,-4.0,-4.0,3,2,0,0,0,12.5,15.5,12.5,13.0,curled,15.0,14.0,hazel,medium,normal,normal,shorthair,LaPerm,black,bicolor,classic tabby,,False,False,False,True,False,0,0,True,99.99,98.99,0.00,55.00,98.88,50.00
2013880,2022-12-28,#2013880 sell,Almalexia | Tigraunda Revival (#70878),100,0,18,female,mixed breed,8,18.5,2.0,1.0,-0.5,-1.5,-5.5,-5.0,2,0,0,1,0,14.0,18.0,11.5,13.5,straight,13.5,13.0,grey-green,deep,short (bobtail),normal,shorthair,,black,,,,False,False,False,True,False,0,0,True,99.99,85.81,0.00,63.00,91.89,50.00
2012431,2022-12-28,#Hoot of An Owl,Kit_2_Electric_Boogaloo (#220467),10,0,24,female,mixed breed,9,18.5,2.0,-3.5,2.0,0.5,-2.0,-3.5,2,2,0,1,0,14.0,13.5,14.0,15.5,straight,17.0,14.5,hazel,deep,short (bobtail),normal,longhair,,blue,bicolor,,,False,False,False,False,False,0,0,True,99.99,88.49,0.00,51.00,99.91,50.00
2014858,2022-12-28,"Kaslistic's ""Galaxy"" |●●●●●●●|",Kaslistic II .:ß: ||Sales|| (#132457),500,0,14,female,Majestic Coon,9,18.5,-3.5,1.5,0.5,-0.5,-4.5,-3.0,2,2,0,0,1,8.5,18.5,12.5,14.5,straight,14.5,15.0,grey-green,deep,normal,short (Munchkin),longhair,LaPerm,black,bicolor,,,False,False,False,True,False,0,0,True,94.99,99.99,87.99,98.00,99.93,50.00
2014862,2022-12-28,"Kaslistic's ""Daphne"" |●●●●●●●|",Kaslistic II .:ß: ||Sales|| (#132457),500,0,14,female,Majestic Coon,9,18.5,-3.5,1.5,0.5,-0.5,-4.5,-3.0,2,2,0,0,1,8.5,18.5,12.5,14.5,straight,14.5,15.0,aqua,deep,normal,short (Munchkin),longhair,LaPerm,chocolate,bicolor,,,False,False,False,True,False,0,0,True,94.99,97.99,87.99,98.00,99.93,50.00
2007854,2022-12-28,#2007854,Almalexia | Tigraunda Revival (#70878),100,0,44,female,mixed breed,7,19.0,3.0,0.5,1.0,-2.5,-4.0,-5.0,3,0,0,0,0,15.0,17.5,13.0,12.5,straight,15.0,13.0,hazel,medium,normal,normal,shorthair,,blue,bicolor,mackerel tabby,,False,False,False,True,False,0,0,True,99.99,86.37,1.50,53.00,85.75,50.00
2017071,2022-12-28,Skylark’s Color Me Irresistible,Skylark's (II) Sales and SAPs (#80199),1,0,55,female,mixed breed,6,19.5,-0.5,-6.5,3.0,-2.5,-4.0,0.0,3,0,0,0,0,11.5,10.5,15.0,13.5,folded,15.0,18.0,coffee,pale,normal,normal,shorthair,,black,van,ticked tabby,,False,False,False,False,False,0,0,True,99.99,94.99,63.00,78.00,46.97,52.00
2006641,2022-12-28,#2006641 Sell?,CCeline's Mew (#171351),50,0,50,female,mixed breed,7,19.5,2.5,-4.0,1.5,-0.5,-4.5,-4.5,2,0,0,0,0,14.5,13.0,13.5,14.5,straight,14.5,13.5,bronze,deep,normal,normal,shorthair,,chocolate,bicolor,classic tabby,,False,False,False,False,False,0,0,True,94.99,88.49,0.00,87.00,99.88,50.00
2015196,2022-12-28,#2015196,Almalexia | Tigraunda Revival (#70878),100,0,12,female,mixed breed,7,19.5,2.0,1.5,1.5,2.0,-6.0,-3.5,3,0,0,0,0,14.0,18.5,13.5,17.0,straight,13.0,14.5,yellow,medium,normal,normal,shorthair,,black,bicolor,mackerel tabby,,False,True,False,False,False,0,0,True,99.99,90.71,3.40,53.00,79.92,50.00
2016764,2022-12-28,#Angel Gilda (Stray),"Embers - Andromedas, Bohemian Rhapsodies (#136373)",100,0,29,female,mixed breed,7,19.5,2.5,-0.5,-2.0,-1.5,-8.5,-1.5,3,0,0,0,0,14.5,16.5,10.0,13.5,straight,10.5,16.5,grey-brown,medium,normal,normal,shorthair,,black,,mackerel tabby,,False,True,False,False,False,0,0,True,99.99,99.99,54.00,76.00,19.95,45.00
2004060,2022-12-28,#Halloweenie BOB 8.5,Rescue Shelter,200,0,62,female,mixed breed,7,19.5,-1.5,1.0,1.0,-4.0,-5.5,-3.5,3,0,0,0,0,10.5,18.0,13.0,12.0,curled,13.5,14.5,orange,medium,normal,normal,shorthair,,black,,ticked tabby,,False,False,False,True,False,0,0,True,99.99,9.50,9.00,26.00,31.96,10.00
2016316,2022-12-28,"Kaslistics ""Delta"" |●●●●●●●|",Kaslistic II .:ß: ||Sales|| (#132457),571,0,7,female,Majestic Coon,9,19.5,-3.5,1.5,0.5,-1.5,-4.5,-3.0,2,2,0,0,1,8.5,18.5,12.5,14.5,folded,14.5,15.0,green,deep,normal,short (Munchkin),longhair,LaPerm wirehair,black,bicolor,,,False,False,False,False,True,0,0,,94.99,99.99,87.99,99.00,99.98,50.00
2011838,2022-12-28,#2011838,.::Heatherboo::.  (#52324),1,0,31,female,mixed breed,6,20.0,0.0,1.0,-0.5,0.0,-4.0,-9.5,3,2,0,0,0,12.0,18.0,11.5,15.0,straight,15.0,8.5,blue,pale,normal,normal,shorthair,wirehair,natural,,mackerel tabby,mink,False,False,False,False,False,0,0,True,79.99,99.99,95.99,87.00,43.58,25.00
2009532,2022-12-28,#2009532,Almalexia | Tigraunda Revival (#70878),100,0,37,female,mixed breed,7,20.0,2.0,1.0,1.0,-3.5,-4.5,-5.0,3,0,0,0,0,14.0,18.0,13.0,11.5,straight,14.5,13.0,green,medium,normal,normal,shorthair,,black,bicolor,,,False,False,False,False,True,0,0,True,99.99,89.41,3.40,65.00,84.78,50.00
2009046,2022-12-28,mm zanae,Yulan - MeiMao 二 (#53138),100,0,40,female,mixed breed,7,20.0,-5.0,1.0,1.0,-4.0,-3.0,-4.0,2,0,0,0,0,7.0,18.0,13.0,11.0,straight,16.0,14.0,blue,deep,normal,normal,shorthair,,chocolate,bicolor,classic tabby,point,False,True,True,False,False,0,14,True,84.99,91.99,96.99,67.00,89.11,55.00
2006823,2022-12-28,Maxine,Rescue Shelter,200,0,50,female,mixed breed,8,20.0,-3.5,1.0,0.5,-2.0,-5.0,-4.0,2,2,0,0,0,8.5,18.0,12.5,13.0,straight,14.0,14.0,coffee,deep,normal,normal,longhair,,black,bicolor,spotted tabby,,False,True,True,False,False,0,0,True,99.99,25.49,0.00,30.00,99.99,90.00
2003960,2022-12-28,#2003960 3ex,Ali's Cattery 2 Mixies and OriMajs (#267045),1,0,62,female,mixed breed,9,20.0,1.0,-4.5,3.0,-2.0,-2.5,-2.0,2,2,0,0,1,13.0,12.5,15.0,13.0,straight,16.5,16.0,aqua,deep,normal,short (Munchkin),longhair,LaPerm satin,lilac,,spotted tabby,,False,False,False,False,False,0,0,True,4.99,2.49,0.00,98.00,99.99,99.99
2010384,2022-12-28,#Miss Bonny of the Moment - LH,Enakhra ~James' Rehab and Retirement Center~ (#146955),1,0,34,female,mixed breed,7,20.5,0.0,-3.0,-2.5,-2.0,-6.5,-1.5,3,2,0,0,0,12.0,14.0,9.5,13.0,straight,12.5,16.5,grey-green,pale,normal,normal,longhair,,natural,,spotted tabby,mink,False,False,False,False,False,0,0,True,4.99,8.99,0.00,22.00,95.99,76.00
2009404,2022-12-28,#2009404,Little Bunny 3 (#268197),100,0,38,female,mixed breed,7,20.5,0.5,-4.5,0.0,-5.0,-5.5,-2.0,2,0,0,0,1,12.5,12.5,12.0,11.0,folded,13.5,16.0,green,deep,normal,short (Munchkin),shorthair,satin,lilac,,,,False,False,False,False,False,0,0,True,4.99,7.74,42.30,21.00,99.99,84.00
2009962,2022-12-28,#2009962,Rescue Shelter,200,0,36,female,mixed breed,7,20.5,-1.5,-6.0,1.0,0.0,-4.5,-3.5,2,2,0,0,0,10.5,11.0,13.0,15.0,straight,14.5,14.5,yellow-green,deep,normal,normal,shorthair,rex II,blue,bicolor,mackerel tabby,,False,False,False,False,False,0,0,True,99.99,10.99,38.00,14.00,73.99,75.00
2005835,2022-12-28,#▧Java,Tic-Tac to the rescue (#269418),300,0,54,female,mixed breed,7,20.5,3.5,-2.0,1.0,-2.0,-9.0,-1.0,2,0,0,0,0,15.5,15.0,13.0,14.0,folded,10.0,17.0,aqua,deep,normal,normal,shorthair,,blue,,spotted tabby,,False,False,False,False,False,0,0,True,99.99,87.49,96.80,43.80,46.70,7.00
2004409,2022-12-28,Chester,s. (#269726),400,0,59,female,mixed breed,7,20.5,0.0,-6.0,-1.0,-3.5,-5.0,-1.0,2,2,0,0,0,12.0,11.0,11.0,12.5,curled,14.0,17.0,green,deep,normal,normal,shorthair,LaPerm,chocolate,bicolor,,,False,False,False,False,False,0,0,True,89.99,3.99,0.00,41.00,99.99,99.99
2005851,2022-12-28,#Dane | !Luesa | Mixed Ramya,Llama Godd (#267840),200,0,54,female,mixed breed,8,20.5,-1.0,-3.5,0.5,-4.0,-3.5,-4.0,2,2,0,0,0,11.0,13.5,12.5,12.0,folded,15.5,14.0,hazel,deep,normal,normal,shorthair,wirehair,black,,mackerel tabby,,False,False,False,True,False,0,0,True,4.99,4.76,17.00,56.00,87.95,75.00
2014860,2022-12-28,"Kaslistic's ""Danee"" |●●●●●●●|",Kaslistic II .:ß: ||Sales|| (#132457),500,0,14,female,Majestic Coon,10,20.5,-3.5,1.5,0.5,-1.5,-4.5,-3.0,2,2,0,1,1,8.5,18.5,12.5,14.5,folded,14.5,15.0,green,deep,short (bobtail),short (Munchkin),longhair,,chocolate,bicolor,,,False,False,False,False,False,0,0,True,94.99,95.99,87.99,98.00,99.93,50.00
2013799,2022-12-28,#2013799,CCeline's Mew (#171351),50,0,19,female,mixed breed,7,21.0,3.5,-5.0,0.5,-1.0,-4.0,-5.0,2,0,0,0,0,15.5,12.0,12.5,14.0,straight,15.0,13.0,bronze,deep,normal,normal,shorthair,,chocolate,bicolor,mackerel tabby,,False,False,False,True,False,0,0,True,94.99,83.49,0.00,49.00,90.96,50.00
2012076,2022-12-28,#2012076,Rescue Shelter,200,0,26,female,mixed breed,8,21.0,-3.5,-1.0,-1.5,-4.0,-3.0,-4.0,2,2,0,0,0,8.5,16.0,10.5,11.0,straight,16.0,14.0,hazel,deep,normal,normal,longhair,rex III,black,harlequin,,,False,False,False,False,True,0,0,True,99.99,2.74,0.00,18.00,99.99,75.00
2005189,2022-12-28,#2005189,Pizza_Kitties - Sales (#88179),50,0,57,female,mixed breed,9,21.0,-0.5,-1.5,1.0,-5.0,-4.0,-4.0,2,2,0,0,1,11.5,15.5,13.0,11.0,folded,15.0,14.0,hazel,deep,normal,short (Munchkin),shorthair,LaPerm,black,bicolor,spotted tabby,,False,False,False,False,False,0,0,True,99.99,79.99,0.00,35.00,98.46,50.00
2016657,2022-12-28,﴾Chant﴿ Mirror Bravewish {Stray},Chant’s ℂ✩ Neverending Studio Projects (#19181),1,0,32,female,mixed breed,7,21.5,1.5,-7.0,3.0,-0.5,-3.0,-3.5,3,0,0,0,0,13.5,10.0,15.0,14.5,straight,16.0,14.5,blue,pale,normal,normal,shorthair,,seal,bicolor,mackerel tabby,point,False,False,False,False,False,0,0,True,99.99,99.99,69.00,77.00,51.96,51.00
2013343,2022-12-28,Skylark’s Spotty Dotty (Stray),SnowyRina167 (#269419),1,0,69,female,mixed breed,7,21.5,0.5,-2.0,-2.0,-4.5,-0.5,-9.0,3,0,0,0,0,12.5,15.0,10.0,11.5,folded,18.5,9.0,brown,pale,normal,normal,shorthair,,chocolate,bicolor,spotted tabby,,False,False,False,False,False,0,0,True,19.99,9.00,77.40,15.20,36.16,29.00
2007897,2022-12-28,#Helmouth,Rescue Shelter,200,0,44,female,mixed breed,7,21.5,-2.5,1.0,0.5,-4.0,-5.5,-5.0,3,0,0,0,0,9.5,18.0,12.5,11.0,straight,13.5,13.0,bronze,medium,normal,normal,shorthair,,black,mitted,,,False,True,True,False,False,0,0,True,99.99,12.00,9.00,6.00,72.99,90.00
2005836,2022-12-28,#▧Sandy,Tic-Tac to the rescue (#269418),300,0,54,female,mixed breed,6,22.0,3.5,-3.0,0.5,-3.5,-9.5,0.0,2,0,0,0,0,15.5,14.0,12.5,12.5,folded,9.5,18.0,hazel,deep,normal,normal,shorthair,,black,,ticked tabby,,False,False,False,False,False,0,0,True,99.99,81.49,97.30,42.60,51.50,7.00
2009278,2022-12-28,Kale,Rescue Shelter,200,0,38,female,mixed breed,7,22.0,1.5,-1.5,1.5,-2.5,-3.5,-8.5,3,0,0,0,0,13.5,15.5,13.5,13.5,curled,15.5,9.5,bronze,pale,normal,normal,shorthair,,black,bicolor,,,False,False,False,False,False,0,0,True,99.99,25.63,0.00,52.00,71.00,77.00
2009645,2022-12-28,#2009645,Rescue Shelter,200,0,36,female,mixed breed,9,22.0,0.5,-5.5,-0.5,0.5,-6.5,-2.5,3,2,0,0,1,12.5,11.5,11.5,15.5,straight,12.5,15.5,yellow-green,medium,normal,short (Munchkin),shorthair,rex III,chocolate,bicolor,,,False,False,False,False,True,0,0,True,99.99,25.75,0.00,35.00,86.00,76.00
2015199,2022-12-28,#2015199,Almalexia | Tigraunda Revival (#70878),100,0,12,female,mixed breed,7,22.5,-4.5,-0.5,0.5,-3.0,-4.5,-6.5,3,0,0,0,0,7.5,16.5,12.5,12.0,straight,14.5,11.5,coffee,medium,normal,normal,shorthair,,black,,,,True,False,False,True,False,0,0,True,99.99,90.77,59.00,58.00,97.92,50.00
